Date,Close/Last,Volume,Open,High,Low
02/08/2023,$15.43,10016810,$15.475,$15.76,$15.05
02/07/2023,$15.76,20432900,$15.72,$16.24,$15.4199
02/06/2023,$15.79,18220300,$15.825,$16.37,$15.15
02/03/2023,$16.28,32668460,$16.25,$17.83,$16.135
02/02/2023,$16.98,39055210,$15.75,$17.6,$15.18
02/01/2023,$16.36,79365190,$13.75,$16.79,$13.6
01/31/2023,$12.93,21405940,$12.59,$13.115,$12.5
01/30/2023,$12.5,18199310,$12.71,$13.37,$12.3
01/27/2023,$12.65,16963180,$11.77,$12.99,$11.65
01/26/2023,$11.8,8764653,$11.74,$12.05,$11.42
01/25/2023,$11.41,8225818,$10.8,$11.47,$10.52
01/24/2023,$11.06,9116574,$11.22,$11.45,$10.87
01/23/2023,$11.66,8967556,$11.1,$11.74,$10.86
01/20/2023,$11.06,7982372,$10.63,$11.0899,$10.46
01/19/2023,$10.44,10553900,$10.77,$10.94,$10.19
01/18/2023,$11.09,19264300,$12.1,$12.14,$11.03
01/17/2023,$11.94,16358430,$11.53,$12.075,$11.3299
01/13/2023,$11.63,10993890,$10.89,$11.73,$10.825
01/12/2023,$11.1,10512770,$10.89,$11.15,$10.21
01/11/2023,$10.82,13106560,$9.86,$10.84,$9.77
01/10/2023,$9.8,9265875,$9.32,$9.8799,$9.31
01/09/2023,$9.33,11044720,$9.09,$9.525,$9.02
01/06/2023,$8.92,9836818,$8.56,$9.025,$8.31
01/05/2023,$8.58,7781211,$8.58,$8.73,$8.31
01/04/2023,$8.84,9931473,$8.26,$8.86,$7.985
01/03/2023,$8.12,11626280,$8.17,$8.45,$7.89
12/30/2022,$7.94,10481530,$7.85,$8.03,$7.68
12/29/2022,$8.09,8878116,$8.05,$8.31,$7.92
12/28/2022,$7.88,9501641,$8.12,$8.31,$7.855
12/27/2022,$8.14,12128550,$8.79,$8.805,$8.12
12/23/2022,$8.89,7653813,$9.21,$9.24,$8.655
12/22/2022,$9.21,10146780,$9.74,$9.74,$8.83
12/21/2022,$9.88,11384410,$10.47,$10.61,$9.86
12/20/2022,$10.45,9439143,$10.315,$10.8485,$10.1797
12/19/2022,$10.48,6284162,$10.59,$10.63,$10.23
12/16/2022,$10.71,12728870,$11.19,$11.63,$10.69
12/15/2022,$11.36,11910490,$11.91,$12.11,$11.21
12/14/2022,$12.16,9566524,$11.55,$12.2761,$11.52
12/13/2022,$11.71,13802430,$12.42,$12.58,$11.4135
12/12/2022,$11.71,8934534,$11.37,$11.74,$11.11
12/09/2022,$11.51,11560920,$12.42,$12.47,$11.48
12/08/2022,$12.57,9985209,$11.92,$12.669,$11.7
12/07/2022,$11.85,11052490,$12.27,$12.77,$11.85
12/06/2022,$12.46,12636430,$12.83,$12.89,$11.9301
12/05/2022,$12.92,14984440,$13.06,$13.345,$12.745
12/02/2022,$13.3,27053110,$11.5,$13.33,$11.41
12/01/2022,$11.77,11875610,$11.49,$11.86,$10.99
11/30/2022,$11.38,11759260,$10.422,$11.39,$10.14
11/29/2022,$10.49,7915064,$10.31,$10.86,$10.1
11/28/2022,$10.14,15594220,$9.98,$10.94,$9.94
11/25/2022,$10.06,3608431,$9.84,$10.1275,$9.79
11/23/2022,$10.03,7025911,$9.784,$10.0584,$9.67
11/22/2022,$9.65,10177490,$9.53,$9.72,$9.33
11/21/2022,$9.76,8805275,$10.03,$10.21,$9.49
11/18/2022,$10.31,7597643,$11,$11.22,$10.18
11/17/2022,$10.89,11525530,$10.54,$11.06,$10.42
11/16/2022,$10.94,13986350,$11.6,$11.68,$10.71
11/15/2022,$11.84,16118250,$11.28,$12.0168,$11.15
11/14/2022,$10.94,14722220,$10.06,$11.04,$10.0402
11/11/2022,$10.33,15066310,$9.76,$10.6,$9.5
11/10/2022,$9.96,15777940,$9.33,$10,$9.215
11/09/2022,$8.565,11969910,$9.38,$9.445,$8.3917
11/08/2022,$9.58,15198850,$9.43,$9.855,$8.78
11/07/2022,$9.41,10806170,$9.41,$9.67,$8.9284
11/04/2022,$9.39,20116480,$9.29,$9.71,$8.92
11/03/2022,$9.34,33515280,$7.45,$9.34,$7.2401
11/02/2022,$8.63,18197680,$8.89,$9.205,$8.41
11/01/2022,$8.94,12394620,$8.78,$9.0192,$8.755
10/31/2022,$8.4,17479690,$8.05,$8.67,$7.98
10/28/2022,$8.01,15489870,$7.8,$8.0593,$7.585
10/27/2022,$7.81,13766280,$7.81,$8.245,$7.7
10/26/2022,$7.69,12848700,$7.33,$8.16,$7.25
10/25/2022,$7.48,17611570,$7.08,$7.69,$7.07
10/24/2022,$7,14132080,$7.2,$7.22,$6.76
10/21/2022,$7.34,9801301,$7.29,$7.44,$7.025
10/20/2022,$7.41,13573260,$7.4,$7.965,$7.28
10/19/2022,$7.39,11526340,$7.71,$7.718,$7.32
10/18/2022,$7.83,12989820,$8.14,$8.26,$7.535
10/17/2022,$7.75,15212250,$7.56,$7.96,$7.355
10/14/2022,$7.24,24643140,$8.78,$8.97,$7.23
10/13/2022,$8.71,19434900,$8.03,$9.01,$7.83
10/12/2022,$8.53,12904970,$8.74,$8.81,$8.09
10/11/2022,$8.78,16169830,$9.21,$9.23,$8.24
10/10/2022,$9.09,19635100,$8.74,$9.42,$8.555
10/07/2022,$8.69,14305190,$8.48,$8.8186,$8.4
10/06/2022,$8.83,19532900,$8.465,$9.17,$8.35
10/05/2022,$8.49,16018280,$8.55,$8.84,$8.095
10/04/2022,$8.86,28308900,$7.67,$8.86,$7.67
10/03/2022,$7.47,18285920,$7.1,$7.48,$6.66
09/30/2022,$6.93,13325030,$7.01,$7.295,$6.855
09/29/2022,$7.05,26183260,$8.18,$8.182,$6.82
09/28/2022,$8.24,9182458,$8.22,$8.42,$8.03
